step: 250 | loss: 5.3667 | toks/s: 5662.0
step: 251 | loss: 5.2762 | toks/s: 5670.3
step: 252 | loss: 5.4673 | toks/s: 5641.7
step: 253 | loss: 5.6771 | toks/s: 5240.4
step: 254 | loss: 5.6135 | toks/s: 5660.8
step: 255 | loss: 6.1674 | toks/s: 5651.7
step: 256 | loss: 5.5899 | toks/s: 5682.5
step: 257 | loss: 5.0275 | toks/s: 5650.3
step: 258 | loss: 5.4100 | toks/s: 5665.9
step: 259 | loss: 5.0932 | toks/s: 5619.7
step: 260 | loss: 5.4034 | toks/s: 5633.1
step: 261 | loss: 4.6718 | toks/s: 5631.3
step: 262 | loss: 5.2135 | toks/s: 5638.9
step: 263 | loss: 5.7362 | toks/s: 5643.9
step: 264 | loss: 5.0928 | toks/s: 5660.0
step: 265 | loss: 5.1013 | toks/s: 5575.7
step: 266 | loss: 5.5531 | toks/s: 5686.2
step: 267 | loss: 5.1062 | toks/s: 5648.6
step: 268 | loss: 5.1088 | toks/s: 5675.2
step: 269 | loss: 5.7349 | toks/s: 5635.3
step: 270 | loss: 5.5924 | toks/s: 5556.5
step: 271 | loss: 5.4835 | toks/s: 5613.4
step: 272 | loss: 5.8159 | toks/s: 5587.3
step: 273 | loss: 5.7917 | toks/s: 5626.0
step: 274 | loss: 5.3143 | toks/s: 5616.6
step: 275 | loss: 5.5824 | toks/s: 5654.0
step: 276 | loss: 5.6507 | toks/s: 5647.8
step: 277 | loss: 4.8399 | toks/s: 5648.9
step: 278 | loss: 5.0528 | toks/s: 5636.5
step: 279 | loss: 5.2749 | toks/s: 5562.5
step: 280 | loss: 5.5475 | toks/s: 5624.2
step: 281 | loss: 5.4801 | toks/s: 5647.6
step: 282 | loss: 5.4900 | toks/s: 5649.4
step: 283 | loss: 5.5014 | toks/s: 5625.9
step: 284 | loss: 5.4593 | toks/s: 5610.5
step: 285 | loss: 5.4379 | toks/s: 5616.9
step: 286 | loss: 5.5795 | toks/s: 5633.4
step: 287 | loss: 5.4822 | toks/s: 5672.7
step: 288 | loss: 5.1638 | toks/s: 5640.5
step: 289 | loss: 5.5714 | toks/s: 5662.9
step: 290 | loss: 5.6265 | toks/s: 5663.3
step: 291 | loss: 5.1109 | toks/s: 5592.1
step: 292 | loss: 5.4775 | toks/s: 5640.1
step: 293 | loss: 5.3418 | toks/s: 5636.6
step: 294 | loss: 5.6468 | toks/s: 5615.1
step: 295 | loss: 5.2730 | toks/s: 5607.8
step: 296 | loss: 5.1317 | toks/s: 5674.5
step: 297 | loss: 5.6250 | toks/s: 5649.8
step: 298 | loss: 4.7576 | toks/s: 5635.0
step: 299 | loss: 5.7945 | toks/s: 5642.4
step: 300 | loss: 5.2900 | toks/s: 5643.8
step: 301 | loss: 4.9007 | toks/s: 5630.3
step: 302 | loss: 5.2401 | toks/s: 5567.3
step: 303 | loss: 5.1331 | toks/s: 5639.6
step: 304 | loss: 5.4272 | toks/s: 5663.1
step: 305 | loss: 5.4223 | toks/s: 5625.2
step: 306 | loss: 5.5166 | toks/s: 5619.9
step: 307 | loss: 5.3699 | toks/s: 5633.0
step: 308 | loss: 4.7882 | toks/s: 5650.4
step: 309 | loss: 5.0996 | toks/s: 5623.7
step: 310 | loss: 5.2554 | toks/s: 5569.4
step: 311 | loss: 5.0903 | toks/s: 5624.4
step: 312 | loss: 5.3599 | toks/s: 5697.9
step: 313 | loss: 5.2965 | toks/s: 5627.1
step: 314 | loss: 5.6075 | toks/s: 5644.5
step: 315 | loss: 5.3767 | toks/s: 5629.6
step: 316 | loss: 4.9535 | toks/s: 5665.4
step: 317 | loss: 5.1180 | toks/s: 5618.7
step: 318 | loss: 4.9963 | toks/s: 5618.1
step: 319 | loss: 5.3928 | toks/s: 5545.0
step: 320 | loss: 5.5106 | toks/s: 5640.9
step: 321 | loss: 5.4055 | toks/s: 5259.4
step: 322 | loss: 5.4350 | toks/s: 5616.2
step: 323 | loss: 4.9860 | toks/s: 5629.1
step: 324 | loss: 5.0506 | toks/s: 5626.2
step: 325 | loss: 5.1611 | toks/s: 5657.6
step: 326 | loss: 5.4349 | toks/s: 5609.9
step: 327 | loss: 5.6352 | toks/s: 5660.0
step: 328 | loss: 5.2834 | toks/s: 5643.2
step: 329 | loss: 5.5172 | toks/s: 5654.7
step: 330 | loss: 4.7680 | toks/s: 5643.6
step: 331 | loss: 5.7377 | toks/s: 5633.7
step: 332 | loss: 5.1921 | toks/s: 5588.5
step: 333 | loss: 5.2644 | toks/s: 5636.9
step: 334 | loss: 5.2578 | toks/s: 5643.2
step: 335 | loss: 5.0799 | toks/s: 5562.4
step: 336 | loss: 5.7793 | toks/s: 5631.3
step: 337 | loss: 5.2474 | toks/s: 5678.7
step: 338 | loss: 5.3256 | toks/s: 5629.2
step: 339 | loss: 4.9311 | toks/s: 5325.4
step: 340 | loss: 5.2838 | toks/s: 5170.1
step: 341 | loss: 5.1632 | toks/s: 5171.8
step: 342 | loss: 5.0710 | toks/s: 5666.6
step: 343 | loss: 5.9326 | toks/s: 5623.1
step: 344 | loss: 5.7560 | toks/s: 5669.5
step: 345 | loss: 5.5639 | toks/s: 5648.2
step: 346 | loss: 5.7245 | toks/s: 5639.1
step: 347 | loss: 5.2098 | toks/s: 5595.4
step: 348 | loss: 5.8009 | toks/s: 5626.7
step: 349 | loss: 4.9931 | toks/s: 5608.1
step: 350 | loss: 5.6243 | toks/s: 5588.8
step: 351 | loss: 5.9107 | toks/s: 5625.7
step: 352 | loss: 5.9397 | toks/s: 5674.9
step: 353 | loss: 6.3369 | toks/s: 5653.0
step: 354 | loss: 5.9071 | toks/s: 5657.3
step: 355 | loss: 6.2287 | toks/s: 5646.4
step: 356 | loss: 5.7174 | toks/s: 5568.8
step: 357 | loss: 5.8214 | toks/s: 5613.7
step: 358 | loss: 5.9751 | toks/s: 5583.3
step: 359 | loss: 5.6263 | toks/s: 5567.4
step: 360 | loss: 5.7381 | toks/s: 5541.8
step: 361 | loss: 5.6319 | toks/s: 5609.5
step: 362 | loss: 6.0401 | toks/s: 5591.3
step: 363 | loss: 5.7567 | toks/s: 5564.1
step: 364 | loss: 6.0404 | toks/s: 5582.7
step: 365 | loss: 5.4812 | toks/s: 5571.5
step: 366 | loss: 5.8232 | toks/s: 5583.3
step: 367 | loss: 5.6348 | toks/s: 5619.4
step: 368 | loss: 5.1928 | toks/s: 5602.2
step: 369 | loss: 5.3128 | toks/s: 5604.4
step: 370 | loss: 5.5622 | toks/s: 5588.2
step: 371 | loss: 5.1551 | toks/s: 5570.2
step: 372 | loss: 5.5374 | toks/s: 5574.2
step: 373 | loss: 4.8418 | toks/s: 5590.4
step: 374 | loss: 5.0314 | toks/s: 5132.4
step: 375 | loss: 4.8418 | toks/s: 5633.2
step: 376 | loss: 5.2914 | toks/s: 5263.7
step: 377 | loss: 5.1524 | toks/s: 5575.0
step: 378 | loss: 5.1330 | toks/s: 5028.4
step: 379 | loss: 5.5275 | toks/s: 5640.2
step: 380 | loss: 4.9114 | toks/s: 5595.1
step: 381 | loss: 4.8311 | toks/s: 5572.9
step: 382 | loss: 5.5509 | toks/s: 5593.5
step: 383 | loss: 4.9963 | toks/s: 5578.3
